,caseid,tname,tid
5357,69,Solar8000/ART_MBP,3db55953b0c36429114716ed51ef328c639ddd22
5358,69,Solar8000/ART_SBP,b2d86e9499cdf0faf6832c5912571e364b1d8086
5440,70,SNUADC/PLETH,2291e207f54430ba05c7e154e25b1923d14853d5
5441,70,Solar8000/ART_DBP,8f7385ece44dd32610c7fd20095fb11193b3bc73
5442,70,Solar8000/ART_MBP,e93ecdd9ecd88230eebaca7fdf79642303e2f032
5443,70,Solar8000/ART_SBP,638283d2bf80d86d7a8d62738077a3e0937b4fdd
5745,74,SNUADC/PLETH,d887f044668d6fe15db5a072a90f3f10d436cc16
5746,74,Solar8000/ART_DBP,893ea568c49023751dfff4d88b589d5d6984b595
5747,74,Solar8000/ART_MBP,60d190a1bd743b3c59752b167a4bee6fb1f9b9bb
5748,74,Solar8000/ART_SBP,4931fd1eec099c711f87972f9316d5289dee2224
5825,75,SNUADC/PLETH,facc355faf792f468aa3c89c219042a964ee6157
5826,75,Solar8000/ART_DBP,0872fe9b8538b4851d730fa57daa519fcfc0c76f
5827,75,Solar8000/ART_MBP,5e5635059133cd56950a4658c2845f4b920041b9
5828,75,Solar8000/ART_SBP,1e61b646e379e9e496d28f59abca4feb55006dd6
5978,77,SNUADC/PLETH,94b4b63a3a57828c6015d9e5310b3099c64caf29
5979,77,Solar8000/ART_DBP,28c346e61d3f646315ca65929eb469aa026d7079
5980,77,Solar8000/ART_MBP,4b7b2bbcf332efc702933d15ea103c5520d70cf9
5981,77,Solar8000/ART_SBP,c8e34eaf5c554a71327e18ca0d1381970d02cc69
6131,79,SNUADC/PLETH,94ffb48b4fdad233155e1f74faf46f843ad09bf9
6132,79,Solar8000/ART_DBP,f57ff9b59576e7f274de95379218655c2d3d421a
6133,79,Solar8000/ART_MBP,78ddbaf345bbc32eb19994e461cc501e608e6995
6134,79,Solar8000/ART_SBP,15ae3d7c8f5cd5d001df72869a2cd46b20680764
6433,83,SNUADC/PLETH,d6d274926f0b54a33b086c3c694d9701d4e9efb1
6434,83,Solar8000/ART_DBP,f34c3f492016ff31ebe8f2ceec882dc3c35b0bfa
6435,83,Solar8000/ART_MBP,7b9515a49ebb477376f5a09944f78cadebfc2a1f
6436,83,Solar8000/ART_SBP,d3d3c87f1022f1c51a9e782a0e4879a3f54c202e
6511,84,SNUADC/PLETH,6e0873db22bdf807894935d113b5527ce0060d0c
6512,84,Solar8000/ART_DBP,3804596b55614f34f0fcbfa179c1332f40eaea17
6513,84,Solar8000/ART_MBP,5d0a784613d9d90aca35ddbbfd075db341e65b9a
6514,84,Solar8000/ART_SBP,64a70c9c15c47b8f70fd2781c7a91e3f3b74d1b0
6694,87,SNUADC/PLETH,36915886e7126ef4a0cb900adf14987db2dfd244
6695,87,Solar8000/ART_DBP,5e768d7fabaddec282ec3fcf157f4addfa34cb1e
6696,87,Solar8000/ART_MBP,6455e0c3973d42f3c9aba25026087f98eac6efda
6697,87,Solar8000/ART_SBP,55cdcaf1c995ead96c69209bf4d90d982f1b1975
6851,89,SNUADC/PLETH,d163ac466789bc882b373576a3aa049cffb15859
6852,89,Solar8000/ART_DBP,de9ef3f4d154fead42e9535eb423af97c43d54da
6853,89,Solar8000/ART_MBP,e643cab8e460636f5636bb4ea39927b6bfe1514d
6854,89,Solar8000/ART_SBP,e9a62c1b9cb1e1f563b735723443217fc1355952
6994,91,SNUADC/PLETH,953430b53cac39389be27dbffdeb76794657ea80
6995,91,Solar8000/ART_DBP,b88050573ddc39daa3e9fcad00d2fea3fc4881b4
6996,91,Solar8000/ART_MBP,4205486fc3733576bb1f4d357232a59b879cd9c6
6997,91,Solar8000/ART_SBP,2128b50be5d30b026b4eaff2da3a876dae112fb4
7070,92,SNUADC/PLETH,501b3612aed197168cfb7892989f69eb5601314b
7071,92,Solar8000/ART_DBP,4fb0c23f99899dfd6b59c322990231c979c6fd12
7072,92,Solar8000/ART_MBP,fa47ef2a5a0db04e71715f5ed26afbb1bfba7902
7073,92,Solar8000/ART_SBP,65329f94bfd8fbc54097ee56a7f29e1515f63bd0
7149,93,SNUADC/PLETH,344da1aac66829b2315d4c1d443559e0edef340b
7150,93,Solar8000/ART_DBP,e2f555fd90f0d49f82ca90135f9384c3e41f939e
7151,93,Solar8000/ART_MBP,8910c3a8487e528cc658f90e7890367b69f847af
7152,93,Solar8000/ART_SBP,bc329baa690e9c1b632cdd49e92876bee8251105
7230,94,SNUADC/PLETH,d639a8f466b7a3fc12a776b67b012e001de64ee6
7231,94,Solar8000/ART_DBP,011144e92a090df44c09c39ab8641ca4040a2626
7232,94,Solar8000/ART_MBP,12ff599b9a8e4632d894a2eded7cdc9de66b6188
7233,94,Solar8000/ART_SBP,cfaca3c22c381aed487a6c31d32d8c364eac05cd
7383,96,SNUADC/PLETH,09acf8df843ec1b5fa926d7263d88e841ee1950c
7384,96,Solar8000/ART_DBP,ddcaf4ac92f19b08fae33e85a823aed3ddde2fa3
7385,96,Solar8000/ART_MBP,eb6dea1ff041ad57bf90330b47f990a84e679a8d
7386,96,Solar8000/ART_SBP,07dd39010221ac42dd6ca623412735b634327204
7474,97,SNUADC/PLETH,1510f664ef1e094a308c3151236f9a145fd05343
7475,97,Solar8000/ART_DBP,1cdce5ceadf3dabf3873757048691200743f3ae3
7476,97,Solar8000/ART_MBP,09f71a61a17287341ecc09e3b922f923b8c8fee5
7477,97,Solar8000/ART_SBP,91b8ba7036c1f0e42ac2e7202568e728ebd351d8
7554,98,SNUADC/PLETH,3c3cf215c1786e3a93d1241cc794f76e9964da5a
7555,98,Solar8000/ART_DBP,d983271cab3734090f372c2226e5b90867fb2e89
7556,98,Solar8000/ART_MBP,efa326cf25d4633573c476cdb25ab3914c56a398
7557,98,Solar8000/ART_SBP,da79676b2d53b33ea6dc3f5d1f1b6da3a4dad913
7763,101,SNUADC/PLETH,1c36dfda4a73a5b8bbcdf0dfab881c21265d15a4
7764,101,Solar8000/ART_DBP,007fbbb1018bf22a4cfdb72d3247a1877ce112d5
7765,101,Solar8000/ART_MBP,755eef887a0dc338eefbe37d84860ca998925e5b
7766,101,Solar8000/ART_SBP,657eefb4cca2ecef492bebedeeb8f7f8128180e8
